yona_file,yona_line,yona_file_ref,ticket_ids,file_confirmed_in_gl_index
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueServiceImpl.kt,564,models/IssueEvent.java,P1-38,True
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueSpecification.kt,112,organization/group_issue_search_partial.scala.html,TASK-0244,True
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/RecentIssue.kt,10,models/RecentIssue.java,P1-09,True
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/RecentIssueService.kt,8,models/RecentIssue.java,P1-09,True
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/RecentIssueService.kt,70,models/RecentIssue.java,P1-41,True
src/main/kotlin/com/github/yonaprojects/yona/domain/site/SiteService.kt,102,models/RecentIssue.java,P1-41,True
src/main/kotlin/com/github/yonaprojects/yona/domain/enumeration/Operation.kt,2,models/enumeration/Operation.java,P1-85,True
src/main/kotlin/com/github/yonaprojects/yona/domain/organization/OrganizationServiceImpl.kt,55,utils/ReservedWordsValidator.java,P2-01,True
src/main/kotlin/com/github/yonaprojects/yona/domain/organization/OrganizationServiceImpl.kt,221,EnrollOrganizationApp.java,,True
src/main/kotlin/com/github/yonaprojects/yona/domain/board/PostingRepository.kt,25,organization/group_board_list.scala.html,,True
src/main/kotlin/com/github/yonaprojects/yona/domain/webhook/WebhookServiceImpl.kt,179,Webhook.java,P2-04,True
src/main/kotlin/com/github/yonaprojects/yona/domain/user/UserSetting.kt,4,models/UserSetting.java,P2-11,True
src/main/kotlin/com/github/yonaprojects/yona/domain/vcs/GitPushHooks.kt,80,playRepository/hooks/UpdateRecentlyPushedBranch.java,P1-24,True
src/main/kotlin/com/github/yonaprojects/yona/domain/vcs/PushedBranch.kt,6,models/PushedBranch.java,P1-24,True
src/main/kotlin/com/github/yonaprojects/yona/domain/support/ZipUtil.kt,8,utils/ZipUtil.java,P2-43,True
src/main/kotlin/com/github/yonaprojects/yona/domain/support/Property.kt,12,models/Property.java,P1-55,True
src/main/kotlin/com/github/yonaprojects/yona/domain/support/PropertyService.kt,5,models/Property.java,P1-55,True
src/main/kotlin/com/github/yonaprojects/yona/domain/support/LineEnding.kt,2,utils/LineEnding.java,P1-111,True
src/main/kotlin/com/github/yonaprojects/yona/domain/pullrequest/CodeReviewServiceImpl.kt,170,playRepository/Commit.java,,True
src/main/kotlin/com/github/yonaprojects/yona/domain/pullrequest/PullRequestServiceImpl.kt,801,models/PullRequestEvent.java,P1-40,True
src/main/kotlin/com/github/yonaprojects/yona/domain/pullrequest/PullRequestTimelineItem.kt,4,git/partial_pull_request_event.scala.html,,True
src/main/kotlin/com/github/yonaprojects/yona/domain/pullrequest/PullRequestRepository.kt,28,organization/group_pullrequest_list.scala.html,,True
src/main/kotlin/com/github/yonaprojects/yona/domain/mention/Mention.kt,16,models/Mention.java,P2-41,True
