yona_file,yona_line,yona_file_ref,yona_line_range,ticket_ids,pattern_type,is_exclusion
src/main/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentCleanupScheduler.kt,21,Attachment.java,438-477,P2-26,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentService.kt,7,Attachment.java,537-582,P2-24,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentServiceImpl.kt,59,Attachment.java,537-582,P2-24,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentRepository.kt,20,Attachment.java,456-458,P2-26,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentRepository.kt,25,Attachment.java,75-85,P2-24,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/board/PostingServiceImpl.kt,71,NotificationEvent.java,1380-1385,P1-127,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/board/PostingRepository.kt,21,organization/group_board_list.scala.html,65-71,TASK-0244,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/comment/CommentServiceImpl.kt,59,BoardApp.java,429-446,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/comment/CommentServiceImpl.kt,94,utils/JodaDateUtil.java,127-142,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/comment/CommentServiceImpl.kt,239,NotificationEvent.java,1517-1528,P1-126,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/event/GitPostReceiveEventListener.kt,132,NotificationEvent.java,604-680,P1-46,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueService.kt,50,IssueApi.java,1176-1210,P1-101,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueServiceImpl.kt,151,NotificationEvent.java,1380-1385,P1-127,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueServiceImpl.kt,599,IssueApi.java,1176-1210,P1-101,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueRepository.kt,27,organization/group_issue_search_partial.scala.html,72,TASK-0244,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueRepository.kt,35,Issue.java,524-529,P2-38,forward,False
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/Issue.kt,46,Issue.java,138,,forward,False
