yona_file,yona_line,yona_file_ref,yona_line_range,ticket_ids,pattern_type,is_exclusion
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,155,AbstractPostingApp.java,35,P1-105,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,215,AccessControl.java,"274-279,368-383",P1-82,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,247,IssueApp.java,267-269,P1-84,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,295,IssueApp.java,267-269,P1-84,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,337,IssueApp.java,299,P1-82,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,572,AccessControl.java,244-248,P2-12,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,775,AccessControl.java,244-248,P2-12,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,888,AccessControl.java,244-248,P2-12,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,937,AccessControl.java,244-248,P2-12,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,1063,IssueApi.java,1176-1210,P1-101,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,1147,IssueApi.java,551-584,P1-102,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/IssueControllerSpec.kt,1334,IssueApi.java,319-349,P1-102,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/SearchControllerSpec.kt,253,SearchApp.java,126-130,P0-23,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/StatisticsViewControllerSpec.kt,92,StatisticsApp.java,30,P1-138,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/BranchViewControllerSpec.kt,254,code/branches.scala.html,59-62,,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/ProjectApiControllerSpec.kt,453,ProjectApi.java,46-72,P2-46,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/ReviewViewControllerSpec.kt,203,PullRequestApp.java,591,P0-24,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/ReviewViewControllerSpec.kt,247,CodeHistoryApp.java,189,P0-24,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/OrganizationControllerSpec.kt,24,AccessControl.java,119-203,P0-21,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/AttachmentControllerSpec.kt,120,AttachmentApp.java,119-128,P2-24,forward,False
src/test/kotlin/com/github/yonaprojects/yona/web/AttachmentControllerSpec.kt,227,AccessControl.java,250-263,P1-130,forward,False
