yona_file,yona_line,yona_file_ref,yona_line_range,ticket_ids,pattern_type,is_exclusion
src/main/kotlin/com/github/yonaprojects/yona/config/git/GitProjectVisitRecorder.kt,12,GitApp.java,88-137,P2-09,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,54,AccessControl.java,"21,95-97,336-337",P1-99,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,59,controllers/Application.java,35,P0-17;P0-20;P0-23,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,65,AccessControl.java,95-97,P1-99,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,185,AccessControl.java,32-34,P2-34,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,190,AccessControl.java,100-118,P2-34,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,205,AccessControl.java,100-118,P2-34,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,214,AccessControl.java,90-94,P1-57,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,256,AccessControl.java,"250-259,274-279,368-383",P1-82,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,266,AccessControl.java,376-378,P1-85,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,306,AccessControl.java,119-203,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,335,AccessControl.java,186-192,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,339,AccessControl.java,119-203,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,349,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,378,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,404,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,429,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,454,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,480,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,505,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,530,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,555,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,579,AccessControl.java,205-301,P1-87,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,632,AccessControl.java,205-301,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,151,layout.scala.html,8,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,163,issue/view.scala.html,53,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,278,models/User.java,247-250,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,289,models/Milestone.java,261,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,353,projectMenu.scala.html,40-42,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,364,project/header.scala.html,48-50,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,501,models/OrganizationUser.java,62-68,TASK-0244,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,510,models/OrganizationUser.java,74-76,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,516,models/OrganizationUser.java,70-72,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,524,models/User.java,677-683,,forward,False
