yona_file,yona_line,yona_file_ref,yona_line_range,ticket,gl_ids
src/main/kotlin/com/github/yonaprojects/yona/domain/support/MarkdownServiceImpl.kt,169,utils/Markdown.java,132-159,P2-33,GL-utils_Markdown-010
src/main/kotlin/com/github/yonaprojects/yona/domain/support/MarkdownServiceImpl.kt,199,utils/Markdown.java,161-211,P2-33,GL-utils_Markdown-011
src/main/kotlin/com/github/yonaprojects/yona/domain/support/MarkdownServiceImpl.kt,282,Markdown.java,358-365,,GL-utils_Markdown-019
src/main/kotlin/com/github/yonaprojects/yona/domain/support/MarkdownServiceImpl.kt,289,Markdown.java,367-377,,GL-utils_Markdown-021
src/main/kotlin/com/github/yonaprojects/yona/domain/support/MarkdownRenderCache.kt,5,utils/CacheStore.java,15-26,P2-43,GL-utils_CacheStore-002;GL-utils_CacheStore-003;GL-utils_CacheStore-004;GL-utils_CacheStore-005
src/main/kotlin/com/github/yonaprojects/yona/domain/support/YonaUpdateService.kt,30,YobiUpdate.java,40-41,,GL-models_YobiUpdate-002
src/main/kotlin/com/github/yonaprojects/yona/domain/support/FileUtil.kt,40,FileUtil.java,113-142,P2-25,GL-utils_FileUtil-007;GL-utils_FileUtil-008
src/main/kotlin/com/github/yonaprojects/yona/domain/vcs/BareCommit.kt,83,BareCommit.java,249-286,,GL-playRepository_BareCommit-024;GL-playRepository_BareCommit-025;GL-playRepository_BareCommit-026;GL-playRepository_BareCommit-027
src/main/kotlin/com/github/yonaprojects/yona/domain/webhook/WebhookServiceImpl.kt,38,Webhook.java,182-192,P1-132,GL-models_Webhook-017;GL-models_Webhook-018
src/main/kotlin/com/github/yonaprojects/yona/domain/webhook/WebhookServiceImpl.kt,41,Webhook.java,622-658,P1-143,GL-models_Webhook-046;GL-models_Webhook-047
src/main/kotlin/com/github/yonaprojects/yona/domain/webhook/WebhookServiceImpl.kt,125,Webhook.java,299-317,P2-36,GL-models_Webhook-025
src/main/kotlin/com/github/yonaprojects/yona/domain/webhook/WebhookThreadRecorder.kt,7,Webhook.java,622-658,P1-143,GL-models_Webhook-046;GL-models_Webhook-047
src/test/kotlin/com/github/yonaprojects/yona/config/git/GitProjectVisitRecorderSpec.kt,17,GitApp.java,88-137,P2-09,GL-controllers_GitApp-005
src/test/kotlin/com/github/yonaprojects/yona/config/security/AccessControlSpec.kt,447,AccessControl.java,100-118,P2-34,GL-utils_AccessControl-006;GL-utils_AccessControl-007
src/main/kotlin/com/github/yonaprojects/yona/web/BoardController.kt,46,BoardApp.java,211,P1-113,GL-controllers_BoardApp-009
src/main/kotlin/com/github/yonaprojects/yona/web/BoardController.kt,158,BoardApi.java,128-159,P1-107,GL-controllers_api_BoardApi-006
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,402,BoardApp.java,211,P1-113,GL-controllers_BoardApp-009
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,517,Posting.java,39-49,P1-111,GL-models_Posting-005;GL-models_Posting-006;GL-models_Posting-007
src/main/kotlin/com/github/yonaprojects/yona/web/BranchViewController.kt,59,actions/IsOnlyGitAvailableAction.java,44-45,,GL-actions_IsOnlyGitAvailableAction-002
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,49,IssueApp.java,959-973,P2-34,GL-controllers_IssueApp-046;GL-controllers_IssueApp-047
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,77,IssueApi.java,594-634,P1-102,GL-controllers_api_IssueApi-032;GL-controllers_api_IssueApi-033
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,149,BoardApp.java,396-425,P2-34,GL-controllers_BoardApp-019
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,177,BoardApi.java,198-238,P1-107,GL-controllers_api_BoardApi-008
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,250,IssueApi.java,594-634,P1-102,GL-controllers_api_IssueApi-032;GL-controllers_api_IssueApi-033
src/main/kotlin/com/github/yonaprojects/yona/web/GlobalModelAttributeAdvice.kt,28,controllers/Application.java,42-43,,GL-controllers_Application-007
src/main/kotlin/com/github/yonaprojects/yona/web/GlobalModelAttributeAdvice.kt,31,controllers/UserApp.java,79-80,,GL-controllers_UserApp-011
src/main/kotlin/com/github/yonaprojects/yona/web/IndexController.kt,55,Application.java,45-52,P2-11,GL-controllers_Application-009;GL-controllers_Application-010;GL-controllers_Application-011;GL-controllers_Application-012
src/main/kotlin/com/github/yonaprojects/yona/web/IssueController.kt,332,IssueApi.java,1176-1191,P1-101,GL-controllers_api_IssueApi-064;GL-controllers_api_IssueApi-065
src/main/kotlin/com/github/yonaprojects/yona/web/IssueController.kt,377,IssueApi.java,551-584,P1-102,GL-controllers_api_IssueApi-030;GL-controllers_api_IssueApi-031
src/main/kotlin/com/github/yonaprojects/yona/web/IssueController.kt,416,IssueApi.java,319-349,P1-102,GL-controllers_api_IssueApi-020
src/main/kotlin/com/github/yonaprojects/yona/web/IssueViewController.kt,137,IssueApp.java,"46,166-177",P1-105,GL-controllers_IssueApp-010
src/main/kotlin/com/github/yonaprojects/yona/web/MilestoneController.kt,112,controllers/api/MilestoneApi.java,29-50,P1-129,GL-controllers_api_MilestoneApi-001;GL-controllers_api_MilestoneApi-002
src/main/kotlin/com/github/yonaprojects/yona/web/MilestoneController.kt,134,MilestoneApi.java,52-68,,GL-controllers_api_MilestoneApi-003
src/main/kotlin/com/github/yonaprojects/yona/web/MilestoneController.kt,162,utils/JodaDateUtil.java,84-92,,GL-utils_JodaDateUtil-015
src/main/kotlin/com/github/yonaprojects/yona/web/MilestoneViewController.kt,61,Milestone.java,99-108,P2-22,GL-models_Milestone-014;GL-models_Milestone-015
src/main/kotlin/com/github/yonaprojects/yona/web/MilestoneViewController.kt,122,Milestone.java,214-227,P1-128,GL-models_Milestone-029
src/main/kotlin/com/github/yonaprojects/yona/web/MilestoneViewController.kt,297,MilestoneApp.java,100-125,P2-23,GL-controllers_MilestoneApp-006
src/main/kotlin/com/github/yonaprojects/yona/web/MilestoneViewController.kt,394,MilestoneApp.java,100-125,P2-23,GL-controllers_MilestoneApp-006
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,297,OrganizationApp.java,287-311,,GL-controllers_OrganizationApp-014
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,340,OrganizationApp.java,90-91,P1-121,GL-controllers_OrganizationApp-005
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,450,OrganizationApp.java,409-420,P1-124,GL-controllers_OrganizationApp-022
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,63,ProjectApi.java,46-72,P2-46,GL-controllers_api_ProjectApi-002;GL-controllers_api_ProjectApi-003
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,82,ProjectApi.java,111-161,P2-45,GL-controllers_api_ProjectApi-007
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,135,ProjectApi.java,230-243,,GL-controllers_api_ProjectApi-012
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,161,ProjectApi.java,163-179,,GL-controllers_api_ProjectApi-008
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,184,ProjectApi.java,189-210,,GL-controllers_api_ProjectApi-009;GL-controllers_api_ProjectApi-010
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,210,Project.java,637-655,,GL-models_Project-083;GL-models_Project-084
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,219,ProjectApi.java,220-228,,GL-controllers_api_ProjectApi-011
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,230,ProjectApi.java,46-72,P2-46,GL-controllers_api_ProjectApi-002;GL-controllers_api_ProjectApi-003
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,277,Project.java,182-212,,GL-models_Project-040;GL-models_Project-041
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,292,ProjectApi.java,87-109,,GL-controllers_api_ProjectApi-005;GL-controllers_api_ProjectApi-006
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,300,ProjectApi.java,350-364,,GL-controllers_api_ProjectApi-020
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,310,ProjectApi.java,366-376,,GL-controllers_api_ProjectApi-021
